Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,8:20PM ET,boxscore,L,,0-1,,Tampa Bay Buccaneers,3,19,12,244,173,71,1,18,347,195,152,1,-19.40,-0.55,2.24
2,Sun,September 18,4:25PM ET,preview,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,
3,Mon,September 26,8:15PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
4,Sun,October 2,1:00PM ET,preview,,,,,Washington Commanders,,,,,,,,,,,,,,,
5,Sun,October 9,4:25PM ET,preview,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,
6,Sun,October 16,8:20PM ET,preview,,,,@,Philadelphia Eagles,,,,,,,,,,,,,,,
7,Sun,October 23,1:00PM ET,preview,,,,,Detroit Lions,,,,,,,,,,,,,,,
8,Sun,October 30,1:00PM ET,preview,,,,,Chicago Bears,,,,,,,,,,,,,,,
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 13,4:25PM ET,preview,,,,@,Green Bay Packers,,,,,,,,,,,,,,,
11,Sun,November 20,4:25PM ET,preview,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,
12,Thu,November 24,4:30PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
13,Sun,December 4,8:20PM ET,preview,,,,,Indianapolis Colts,,,,,,,,,,,,,,,
14,Sun,December 11,1:00PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
15,Sun,December 18,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
16,Sat,December 24,4:25PM ET,preview,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,
17,Thu,December 29,8:15PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
18,Sun,January 8,1:00PM ET,preview,,,,@,Washington Commanders,,,,,,,,,,,,,,,